ID,wav,label
utt_000001,data\EmoDB\wav\03a01Fa.wav,happy
utt_000002,data\EmoDB\wav\03a01Nc.wav,neutral
utt_000003,data\EmoDB\wav\03a01Wa.wav,angry
utt_000004,data\EmoDB\wav\03a02Fc.wav,happy
utt_000005,data\EmoDB\wav\03a02Nc.wav,neutral
utt_000006,data\EmoDB\wav\03a02Ta.wav,sad
utt_000007,data\EmoDB\wav\03a02Wb.wav,angry
utt_000008,data\EmoDB\wav\03a02Wc.wav,angry
utt_000009,data\EmoDB\wav\03a04Ad.wav,fear
utt_000010,data\EmoDB\wav\03a04Fd.wav,happy
utt_000011,data\EmoDB\wav\03a04Lc.wav,neutral
utt_000012,data\EmoDB\wav\03a04Nc.wav,neutral
utt_000013,data\EmoDB\wav\03a04Ta.wav,sad
utt_000014,data\EmoDB\wav\03a04Wc.wav,angry
utt_000015,data\EmoDB\wav\03a05Aa.wav,fear
utt_000016,data\EmoDB\wav\03a05Fc.wav,happy
utt_000017,data\EmoDB\wav\03a05Nd.wav,neutral
utt_000018,data\EmoDB\wav\03a05Tc.wav,sad
utt_000019,data\EmoDB\wav\03a05Wa.wav,angry
utt_000020,data\EmoDB\wav\03a05Wb.wav,angry
utt_000021,data\EmoDB\wav\03a07Fa.wav,happy
utt_000022,data\EmoDB\wav\03a07Fb.wav,happy
utt_000023,data\EmoDB\wav\03a07La.wav,neutral
utt_000024,data\EmoDB\wav\03a07Nc.wav,neutral
utt_000025,data\EmoDB\wav\03a07Wc.wav,angry
utt_000026,data\EmoDB\wav\03b01Fa.wav,happy
utt_000027,data\EmoDB\wav\03b01Lb.wav,neutral
utt_000028,data\EmoDB\wav\03b01Nb.wav,neutral
utt_000029,data\EmoDB\wav\03b01Td.wav,sad
utt_000030,data\EmoDB\wav\03b01Wa.wav,angry
utt_000031,data\EmoDB\wav\03b01Wc.wav,angry
utt_000032,data\EmoDB\wav\03b02Aa.wav,fear
utt_000033,data\EmoDB\wav\03b02La.wav,neutral
utt_000034,data\EmoDB\wav\03b02Na.wav,neutral
utt_000035,data\EmoDB\wav\03b02Tb.wav,sad
utt_000036,data\EmoDB\wav\03b02Wb.wav,angry
utt_000037,data\EmoDB\wav\03b03Nb.wav,neutral
utt_000038,data\EmoDB\wav\03b03Tc.wav,sad
utt_000039,data\EmoDB\wav\03b03Wc.wav,angry
utt_000040,data\EmoDB\wav\03b09La.wav,neutral
utt_000041,data\EmoDB\wav\03b09Nc.wav,neutral
utt_000042,data\EmoDB\wav\03b09Tc.wav,sad
utt_000043,data\EmoDB\wav\03b09Wa.wav,angry
utt_000044,data\EmoDB\wav\03b10Ab.wav,fear
utt_000045,data\EmoDB\wav\03b10Ec.wav,disgust
utt_000046,data\EmoDB\wav\03b10Na.wav,neutral
utt_000047,data\EmoDB\wav\03b10Nc.wav,neutral
utt_000048,data\EmoDB\wav\03b10Wb.wav,angry
utt_000049,data\EmoDB\wav\03b10Wc.wav,angry
utt_000050,data\EmoDB\wav\08a01Ab.wav,fear
utt_000051,data\EmoDB\wav\08a01Fd.wav,happy
utt_000052,data\EmoDB\wav\08a01Lc.wav,neutral
utt_000053,data\EmoDB\wav\08a01Na.wav,neutral
utt_000054,data\EmoDB\wav\08a01Wa.wav,angry
utt_000055,data\EmoDB\wav\08a01Wc.wav,angry
utt_000056,data\EmoDB\wav\08a02Ab.wav,fear
utt_000057,data\EmoDB\wav\08a02Ac.wav,fear
utt_000058,data\EmoDB\wav\08a02Fe.wav,happy
utt_000059,data\EmoDB\wav\08a02La.wav,neutral
utt_000060,data\EmoDB\wav\08a02Na.wav,neutral
utt_000061,data\EmoDB\wav\08a02Tb.wav,sad
utt_000062,data\EmoDB\wav\08a02Wc.wav,angry
utt_000063,data\EmoDB\wav\08a04Ff.wav,happy
utt_000064,data\EmoDB\wav\08a04La.wav,neutral
utt_000065,data\EmoDB\wav\08a04Nc.wav,neutral
utt_000066,data\EmoDB\wav\08a04Tb.wav,sad
utt_000067,data\EmoDB\wav\08a04Wc.wav,angry
utt_000068,data\EmoDB\wav\08a05Fe.wav,happy
utt_000069,data\EmoDB\wav\08a05Lc.wav,neutral
utt_000070,data\EmoDB\wav\08a05Nb.wav,neutral
utt_000071,data\EmoDB\wav\08a05Ta.wav,sad
utt_000072,data\EmoDB\wav\08a05Wa.wav,angry
utt_000073,data\EmoDB\wav\08a07Fd.wav,happy
utt_000074,data\EmoDB\wav\08a07La.wav,neutral
utt_000075,data\EmoDB\wav\08a07Na.wav,neutral
utt_000076,data\EmoDB\wav\08a07Ta.wav,sad
utt_000077,data\EmoDB\wav\08a07Tb.wav,sad
utt_000078,data\EmoDB\wav\08a07Wc.wav,angry
utt_000079,data\EmoDB\wav\08b01Aa.wav,fear
utt_000080,data\EmoDB\wav\08b01Fd.wav,happy
utt_000081,data\EmoDB\wav\08b01Fe.wav,happy
utt_000082,data\EmoDB\wav\08b01Lb.wav,neutral
utt_000083,data\EmoDB\wav\08b01Na.wav,neutral
utt_000084,data\EmoDB\wav\08b01Wa.wav,angry
utt_000085,data\EmoDB\wav\08b02Ff.wav,happy
utt_000086,data\EmoDB\wav\08b02La.wav,neutral
utt_000087,data\EmoDB\wav\08b02Nb.wav,neutral
utt_000088,data\EmoDB\wav\08b02Tc.wav,sad
utt_000089,data\EmoDB\wav\08b02Wd.wav,angry
utt_000090,data\EmoDB\wav\08b03Fe.wav,happy
utt_000091,data\EmoDB\wav\08b03Lc.wav,neutral
utt_000092,data\EmoDB\wav\08b03Nb.wav,neutral
utt_000093,data\EmoDB\wav\08b03Tc.wav,sad
utt_000094,data\EmoDB\wav\08b03Wd.wav,angry
utt_000095,data\EmoDB\wav\08b09Ab.wav,fear
utt_000096,data\EmoDB\wav\08b09Fd.wav,happy
utt_000097,data\EmoDB\wav\08b09Lc.wav,neutral
